definition,peak_at,trough_at,depth,window,trail_vol_at_peak,mkt_vol_at_peak,mkt_prior_2y,mkt_during,vol_std_depth,also_slow,lo_ret,hi_ret,factor_ret,loser_share,winner_share,retrace_20d,crash_days,sessions,leg_data,bear_state,route,formation_at,era
fast,1932-01-04,1932-01-15,-0.2001703751107018,10,0.2465028395927171,0.4487999933965326,-0.6746368171322024,0.13502950160218186,-4.0764127089529145,True,0.4058133857373494,0.07259057283855719,-0.1827340892881153,1.2178439471387714,-0.21784394713877137,0.7388602915118119,0,11,True,True,Route 1,1931-12-31,returns-only
fast,1932-02-06,1932-02-19,-0.07464510265812152,10,0.2813894000717287,0.3895636417606481,-0.6580983154782774,0.12373605313386493,-1.3316615385226953,False,0.1582279075568005,0.060633265125658475,-0.07529285108626116,1.6212765743615314,-0.6212765743615314,1.1515547536342243,0,11,True,True,Route 1,1932-01-31,returns-only
fast,1932-04-08,1932-04-20,-0.06638796186939455,10,0.27948538664025824,0.39738717063063145,-0.6786225064829536,-0.0635992841058296,-1.1924234309399138,False,0.003454535649512591,-0.03573262051221837,-0.049396222775417775,0.0881547932505036,0.9118452067494964,2.4630180357092653,0,11,True,True,FITS-NONE,1932-03-31,returns-only
fast,1932-05-31,1932-06-11,-0.16407572154864047,10,0.22614332317842578,0.3825409731114974,-0.7396082490049389,0.00404643113144143,-3.6421751201429053,False,0.16607975024995492,-0.01910549735983369,-0.1440135388658077,0.8968303490346506,0.10316965096534937,0.6774112924798666,0,11,True,True,Route 1,1932-04-30,returns-only
fast,1932-07-27,1932-08-08,-0.19438350576268026,10,0.2953323817482448,0.413296034426569,-0.6278682779694549,0.34557036557726284,-3.3040652323962223,False,0.6455875152931951,0.1616899199526478,-0.22354682285407135,1.3341407800112275,-0.3341407800112275,-0.6860634896448013,0,11,True,True,Route 1,1932-06-30,returns-only
slow,1932-05-27,1932-09-07,-0.520132965268929,84,0.21958170456988965,0.36880552904552005,-0.7305659832784515,0.7771455515053494,-4.102785905145851,True,2.535825845734195,0.4938446756481314,-0.5154302683285645,1.2418458519024038,-0.2418458519024038,0.08187331593002348,0,85,True,True,Route 1,1932-04-30,returns-only
fast,1932-09-23,1932-10-05,-0.0643351999509546,10,0.3446441776673444,0.5044958157137954,-0.4121238462852854,-0.09878291660398053,-0.9370828277852709,False,-0.12135945234857637,-0.16641294356237613,-0.07687310827161165,-2.6936747647961257,3.6936747647961257,-0.06530724879090931,0,11,True,True,FITS-NONE,1932-08-31,returns-only
fast,1932-10-31,1932-11-12,-0.06241911267808242,10,0.2817150908921346,0.5124364577193942,-0.563647745737118,0.08060540089609569,-1.1122636626407854,False,0.168359618104448,0.08669511064961966,-0.05735617588654429,2.0616008514785196,-1.0616008514785193,0.44031604896076226,0,11,True,True,Route 1,1932-09-30,returns-only
fast,1932-12-29,1933-01-12,-0.07029359839852167,10,0.18384019621795053,0.4681561918070435,-0.49545606451520774,0.09465797982143731,-1.919444553841494,False,0.24727345384110122,0.04264025773326696,-0.0723389524820448,1.2083740983588855,-0.2083740983588855,-0.15721850803582404,0,11,True,True,Route 1,1932-11-30,returns-only
slow,1932-12-28,1933-03-25,-0.08098195133512276,62,0.18387596184780255,0.46742460074520975,-0.5101669594032603,-0.024277898476292026,-0.8879074611458424,True,0.0635593837880375,-0.03378115812188753,-0.07528403943340012,0.652959009072014,0.347040990927986,0.8166551253389178,0,63,True,True,FITS-NONE,1932-11-30,returns-only
fast,1933-06-02,1933-06-14,-0.06520373941519153,10,0.22983912160070094,0.44661917770166293,0.0035610183667325046,0.06481131588187217,-1.42412732791445,True,0.11874198550378967,0.008325472003089196,-0.06267978951161257,1.0754006057530188,-0.07540060575301881,0.7333634406781471,0,11,True,False,FITS-NONE,1933-05-31,returns-only
fast,1933-10-06,1933-10-19,-0.10969803052203853,10,0.20203820808766024,0.43296023571350223,0.34687997168706497,-0.14664714350476948,-2.7256217919181847,True,-0.07336115464032145,-0.23254620539413262,-0.1122799062335249,-0.46085454816846266,1.4608545481684627,0.8636665060659534,0,11,True,False,Route 2,1933-09-30,returns-only
fast,1933-12-29,1934-01-11,-0.0491105551240556,10,0.21285177539994596,0.34421216459408577,0.720951053689517,0.022410463747298603,-1.1582380727430654,False,0.0982698308826011,0.0012115964469665563,-0.05063197823585719,1.0124831906742549,-0.012483190674254872,0.4321651106925619,0,11,True,False,FITS-NONE,1933-11-30,returns-only
fast,1934-01-29,1934-02-09,-0.04486633917790439,10,0.1950461275978301,0.3197734287102221,1.076263316803491,0.02027606405865079,-1.1547383069651858,False,0.0883919742728525,0.03966017823911505,-0.032449601587217436,1.813846019786711,-0.8138460197867109,1.2483798160082413,0,11,True,False,FITS-NONE,1933-12-31,returns-only
fast,1934-09-15,1934-09-27,-0.04947197525137248,10,0.12749544376885838,0.23956503402473667,0.4816208145220062,0.07677478470368415,-1.9478919200381581,False,0.13274745940963983,0.07233251973559796,-0.04918681684394788,2.1972621362506572,-1.197262136250657,0.5265691444717429,0,11,True,False,FITS-NONE,1934-08-31,returns-only
fast,1934-12-27,1935-01-09,-0.09650422027858119,10,0.15193311411155996,0.15599980477843423,0.456938807520872,0.045934318385618456,-3.1885566476170086,True,0.2092798529148121,0.047012680842334564,-0.09180604222402977,1.2897239179181361,-0.2897239179181362,0.6985354099585581,0,11,True,False,FITS-NONE,1934-11-30,returns-only
fast,1935-03-13,1935-03-25,-0.08761757186781804,10,0.18978586718145832,0.14622253190382156,-0.16781301347279365,0.023366470551696716,-2.3175420096067647,False,0.2180288703812776,0.009110907898671972,-0.07475297963115457,1.043609978722775,-0.04360997872277517,-0.4238090049023038,0,11,True,True,Route 1,1935-02-28,returns-only
slow,1935-03-14,1935-06-22,-0.15868229271135714,84,0.1897350715651119,0.14719568274301492,-0.20615116226297114,0.2556599484931139,-1.4485766441090864,True,0.5698217933591252,0.1888115356586091,-0.15565354896511785,1.4955549931860885,-0.49555499318608853,0.2888413720874654,0,85,True,True,Route 1,1935-02-28,returns-only
fast,1935-08-01,1935-08-13,-0.0833695549384944,10,0.1530149188210682,0.1377141562671177,0.249596720481853,0.04378398446263421,-2.735104834916431,True,0.3415128165669401,0.028335745911646004,-0.09033594632096198,1.090478354153949,-0.09047835415394899,0.826700620393122,0,11,True,False,FITS-NONE,1935-07-31,returns-only
fast,1935-11-19,1935-12-02,-0.056542507641555106,10,0.12344580437658355,0.14127727887835753,0.36388793344126835,-0.021416485123870066,-2.299317802622394,False,0.07694271366821681,-0.04269207652320428,-0.05456124690760222,0.6431466427542104,0.35685335724578965,1.1934159947811658,0,11,True,False,FITS-NONE,1935-10-31,returns-only
fast,1936-04-17,1936-04-29,-0.08426221329422567,10,0.13087713558212424,0.1413353866774814,0.7244524556064498,-0.10415462966975209,-3.231985111700251,True,-0.03353687777777581,-0.1789470710182962,-0.08380434440087292,-0.230636360700677,1.230636360700677,0.4623210766784564,0,11,True,False,Route 2,1936-03-31,returns-only
