formation,sigma,calendar_state,var_uncond,var_scaled,var_state,var_terc,es_scaled,prob_below_level,prob_below_own_var,realised,weight_l2_norm,earnings_weight_in_window,fomc_in_window
2015-09-30,0.17312000969362965,False,-0.030773129765239247,-0.04415039636904866,-0.037468711827821216,-0.04415039636904866,-0.08778916242889954,0.052830188679245285,0.09433962264150944,-0.08896516404971977,0.14608847880581557,0.0,False
2015-10-31,0.21136923069553407,False,-0.054034240462750044,-0.08343569734693373,-0.06546661435892576,-0.08343569734693373,-0.13099087853997138,0.10452961672473868,0.08362369337979095,0.023067867586183066,0.1631822270062895,0.0,False
2015-11-30,0.22710913991102988,False,-0.04870211581577563,-0.08811837180767602,-0.06820429661553215,-0.11586716219110207,-0.13752418985284373,0.10423452768729642,0.09446254071661238,0.10316563670567436,0.17554092524143902,0.0,False
2015-12-31,0.2518155486839334,False,-0.04075703384080551,-0.09032647739162934,-0.07205929805556008,-0.12099749264428518,-0.1490968262681211,0.11246200607902736,0.11550151975683891,0.05519812638416921,0.22283376759080353,0.0,False
2016-01-31,0.2881913981356073,False,-0.04931177743238274,-0.09406363318784593,-0.08114205234320783,-0.13206047842648727,-0.16646294016030305,0.12931034482758622,0.11494252873563218,-0.019822388209818076,0.22796313848702898,0.0,False
2016-02-29,0.3023085700026689,False,-0.057314561753073576,-0.09507890702659595,-0.08618468952334758,-0.13158761515913794,-0.17046803004322303,0.16304347826086957,0.11141304347826086,-0.028140127723766062,0.2252550886855824,0.0,False
2016-03-31,0.32731583380718526,False,-0.06974035407120864,-0.10283501202019854,-0.09374045830026803,-0.1427565891157587,-0.1824077856005904,0.1953727506426735,0.10796915167095116,-0.05527608600562639,0.23043190438112318,0.0,False
2016-04-30,0.32138999039885746,False,-0.07749156025776258,-0.10086630568755911,-0.0920216432995347,-0.09738746989018218,-0.17580739736355291,0.21951219512195122,0.1024390243902439,0.10841898244962911,0.20227339312075873,0.0,False
2016-05-31,0.3213471555363508,False,-0.0765326986458364,-0.09893159984197042,-0.09153768760245407,-0.08822801208349854,-0.1723245414554107,0.21809744779582366,0.10208816705336426,0.012352395764092083,0.1941483807855443,0.0,False
2016-06-30,0.31293624649095314,False,-0.07518306300221007,-0.09502352547225255,-0.08839038418128321,-0.08506609174559211,-0.16467511431486892,0.20750551876379691,0.09271523178807947,-0.0355666680765272,0.18381029289867237,0.0,False
2016-07-31,0.2806485819143079,False,-0.07435676575895675,-0.08463728911282618,-0.07839584059414723,-0.07552459504973502,-0.14506702194506343,0.17758985200845667,0.06765327695560254,-0.024410760775580798,0.16894768877220478,0.0,False
2016-08-31,0.24840374808242177,False,-0.07372963729393536,-0.07208797132134534,-0.06875167081373434,-0.06629661665212348,-0.12625485702664838,0.14919354838709678,0.05040322580645161,-0.008325931583350266,0.196261302170316,0.0,False
2016-09-30,0.20113933970221393,False,-0.07297507332859214,-0.057428005218673084,-0.05459782156143497,-0.06137829574128711,-0.10051715395673833,0.10058027079303675,0.03481624758220503,0.014805776829158956,0.20391614265286873,0.0,False
2016-10-31,0.17034845845327387,True,-0.0722941924380701,-0.04836643173836423,-0.04836643173836423,-0.051437035168226494,-0.08377645715343382,0.0724907063197026,0.027881040892193308,-0.061661943996817015,0.22606617356449302,0.0,True
2016-11-30,0.16855105295587458,True,-0.07120449586627538,-0.047843043321282086,-0.047843043321282086,-0.051896370029459356,-0.08211103223554846,0.06797853309481217,0.026833631484794274,-0.007152737096033257,0.11806133278274467,0.0,True
2016-12-31,0.14343493514422628,False,-0.07066817195851029,-0.04020922108664354,-0.03835666708864548,-0.04370402124806373,-0.06886916833949742,0.04310344827586207,0.020689655172413793,-0.011153520962365437,0.12424682884853713,0.0,False
2017-08-31,0.12763537816494328,False,-0.06837438624027671,-0.03543330004047225,-0.033696459528961754,-0.04043983444810631,-0.05962672584263996,0.03316749585406302,0.01824212271973466,-0.005384515399590284,0.12862649783686408,0.0,False
2017-09-30,0.11987629434861205,False,-0.0681407448664028,-0.03295949938444748,-0.031456708475172554,-0.036712487915452244,-0.05528479631937275,0.030497592295345103,0.012841091492776886,0.04841330845945979,0.1492379975054285,0.0,False
2017-10-31,0.12212017305019489,True,-0.06664893144791673,-0.032592721972590374,-0.032592721972590374,-0.036106961770812,-0.055604517797338035,0.02945736434108527,0.015503875968992248,-0.014728900890499386,0.18980004894843944,0.0,True
2017-11-30,0.13434235371321965,True,-0.06590904907060355,-0.03527822897957253,-0.03527822897957253,-0.03378488216980448,-0.06040846117635974,0.03153153153153153,0.018018018018018018,-0.001954907586139143,0.18527562593498434,0.0,True
2017-12-31,0.12271313182754896,False,-0.06387381481983298,-0.03402818276541277,-0.0318073992672792,-0.039833589252250466,-0.05540640721656906,0.029154518950437316,0.016034985422740525,0.025514635356564952,0.18484881515618048,0.00297815711316039,False
2018-01-31,0.125387605909402,False,-0.06301747117218327,-0.034279589081682514,-0.032471553810993425,-0.04035067946191682,-0.056001698396347895,0.028288543140028287,0.016973125884016973,0.03627127096261651,0.1899017196843028,3.645484947774719e-05,False
2018-02-28,0.13234370191981895,False,-0.06133102504181362,-0.0352865761117241,-0.03400455391798236,-0.03183595620958682,-0.058469345158844055,0.03168044077134986,0.01652892561983471,0.008792459469725955,0.1751311407524091,0.00041872604899887675,False
