formation,sigma,bear,n_train,n_state,var_uncond,var_scaled,var_cond,realised
1935-10-31,0.12001273265783112,False,2540,1590,-0.06726532556131247,-0.042491964533910694,-0.03290039985641725,0.018638691649701
1935-11-30,0.12014017945716594,False,2563,1613,-0.06711249596272116,-0.04369956422677301,-0.033926644468887344,0.0175330320262308
1935-12-31,0.11917767374806423,False,2588,1638,-0.06651324814562329,-0.04345211996401046,-0.033696349132697395,-0.03198851517814372
1936-01-31,0.09612663647501686,False,2614,1664,-0.06626129868003977,-0.034805681560710296,-0.027109166156190426,0.017385336691711606
1936-02-29,0.1005752995521268,False,2637,1687,-0.06540161061699988,-0.03624399406931851,-0.028123803569131654,-0.005985147598932095
1936-03-31,0.12398749098195365,False,2663,1713,-0.06512602468393235,-0.0444326446546648,-0.034570503055156736,0.00927459841989453
1936-04-30,0.14889269800765934,False,2688,1738,-0.0651906359973496,-0.054286202877819476,-0.04277204575359548,0.016779767968383652
1936-05-29,0.15634842730261167,False,2713,1763,-0.06492464271109254,-0.05697087269868843,-0.045051222414935845,0.00502282378557628
1936-06-30,0.15107001026014408,False,2739,1789,-0.0643780336691412,-0.0545859091891737,-0.04323431014925196,0.0035209264556481656
1936-07-31,0.14434997249739967,False,2765,1815,-0.06419451941947697,-0.05196809647741764,-0.04102805173967783,0.015073310446346966
1936-08-31,0.1271041198388158,False,2791,1841,-0.06381915611063749,-0.04561738645897909,-0.03608204707396865,-0.00263739194603696
1936-09-30,0.08844279235754626,False,2816,1866,-0.06372558819221283,-0.0315998131422042,-0.025070333509718438,-0.009961860545267709
1936-10-31,0.0688602120240712,False,2842,1892,-0.06367130044432541,-0.0245440104209938,-0.019446430649365274,0.017312751708187468
1936-11-30,0.06893621979772345,False,2864,1914,-0.06350874689281395,-0.02448131640208238,-0.019377028376493067,-0.02332753602576687
1936-12-31,0.06969876670357977,False,2889,1939,-0.06277284867237594,-0.024728861711528903,-0.019798189218460743,-0.014651933612786827
1937-01-30,0.05756526313672196,False,2914,1964,-0.06265144904133027,-0.020577052195675925,-0.016635075709054016,0.004469384762366024
1937-02-27,0.061484006375642435,False,2936,1986,-0.06249553679580791,-0.021924421238335393,-0.017738567234372338,0.036940194347503175
1937-03-31,0.08157596901048764,False,2962,2012,-0.06241596931712399,-0.029076318161729942,-0.02357925875828177,-0.03305223901002785
1937-04-30,0.11505454706355606,False,2988,2038,-0.06232039437827622,-0.04194883004663219,-0.034246258376771636,-0.006411870376442863
1937-05-28,0.12238913481187796,False,3012,2062,-0.06225134249417419,-0.04435171083141733,-0.03648476432870789,0.029936052820653813
1937-06-30,0.1269612904786338,False,3038,2088,-0.06203247567508354,-0.04574738592803134,-0.037609594667822155,0.008818976710975202
1937-07-31,0.12785284541221612,False,3063,2113,-0.06164885326465971,-0.045923822259028885,-0.037513995538634076,0.005590454546422929
1937-08-31,0.11429468999039293,False,3089,2139,-0.061454522666478946,-0.040902495438648705,-0.03345462937569476,-0.027279559887603555
1937-09-30,0.09934794532349435,False,3114,2164,-0.06120156682508385,-0.03572490768834961,-0.029655947192603952,0.04455132209032997
1937-10-30,0.19035068983326547,True,3139,963,-0.06168901298347771,-0.06979244520491867,-0.10059106712081402,-0.04962386511003569
1937-11-30,0.24973434365341116,True,3162,986,-0.06157535061468574,-0.09130052968661256,-0.13062337590614867,-0.0023269302611778064
1937-12-31,0.26383175002262343,True,3188,1012,-0.06225224115081973,-0.09663630940283754,-0.1346334338135024,-0.0940652309647918
1938-01-31,0.29678342298720134,True,3213,1037,-0.0631322095788464,-0.10931805398692959,-0.15065779799536028,-0.027088761239457027
1938-02-28,0.3031557793610408,True,3235,1059,-0.06275435286850142,-0.11131183146475396,-0.15350350275134486,0.07853924266036794
1938-03-31,0.27816231923105617,True,3262,1086,-0.0625986344491515,-0.10197180618649782,-0.1402620973536065,-0.10289828023903946
1938-04-30,0.26355685959579955,True,3287,1111,-0.06366155278287218,-0.09692782669487723,-0.13248610619532725,-0.048168970687551105
1938-05-31,0.2668406577716371,True,3312,1136,-0.06317404705817614,-0.09784611759587118,-0.13340068228246243,-0.023625845040229798
1938-06-30,0.27150754862434306,True,3338,1162,-0.06428348826464085,-0.10043777663978536,-0.1383253731709778,-0.050238346306634374
1938-07-30,0.27467898820259273,True,3363,1187,-0.06594126635881185,-0.10324892090021429,-0.1412793539471642,0.009371269173324093
1938-08-31,0.23609169743978728,True,3390,1214,-0.06558007957274906,-0.08753587041863135,-0.12044061482373927,0.03995157372438851
1938-09-30,0.21472674691337376,True,3415,1239,-0.06517753257950767,-0.07945226255755837,-0.10895035010555554,-0.044344307508301206
1938-10-31,0.19383272004488836,True,3440,1264,-0.06478367533010465,-0.07170322607611743,-0.09808304731106314,-0.015288823970728505
1938-11-30,0.139350838390015,True,3463,1287,-0.06440887548806393,-0.05152478683610785,-0.07025623886838271,0.014649763447658115
1938-12-31,0.10942165123959735,True,3489,1313,-0.06431894956913979,-0.040456003677022484,-0.05499591275894429,-0.028116212298151866
1939-01-31,0.13094085932206215,True,3514,1338,-0.06430879308050554,-0.04976648825801933,-0.06650763152022986,0.008201232667662373
1939-02-28,0.12540044338039666,True,3536,1360,-0.06428479246837929,-0.04752284384353619,-0.06359932715447401,-0.008110014332320725
1939-03-31,0.14586403532056855,True,3563,1387,-0.06423802568925507,-0.05521998848018344,-0.07393573895851294,0.004431542269171862
1939-04-29,0.174524354289022,True,3587,1411,-0.06432301216459349,-0.06687520442716682,-0.08876482357811552,0.004891135857324036
1939-05-31,0.17108652501000796,True,3613,1437,-0.06428674877398695,-0.0653204284296588,-0.08678225158572789,0.03617511340820467
1939-06-30,0.15641405154269253,False,3639,2180,-0.06388997553103025,-0.05939790271949066,-0.046635601731789496,-0.027491451309931803
1939-07-31,0.1594539888494485,False,3664,2204,-0.0637862858389528,-0.060511107048341554,-0.04792897476396802,0.051917314016424854
1939-08-31,0.1288986702801858,False,3691,2231,-0.06372914937791607,-0.04870453434926751,-0.03854835657538338,-0.2921690586449639
1939-09-30,0.30777023221877725,False,3716,2256,-0.06623134343903822,-0.12054189233241486,-0.09520151513269479,-0.00940321804807398
1939-10-31,0.30555170822628386,False,3741,2281,-0.0659471854823338,-0.11947057455274913,-0.09420164469982897,-0.00037032093069166994
1939-11-30,0.3025890731668943,False,3764,2304,-0.06578535602232591,-0.11795687652676025,-0.09322555793002682,0.029716477736934754
1939-12-30,0.3015396738076105,False,3789,2329,-0.06518876408051504,-0.11688381909170716,-0.09251330254744401,-0.029416216067560508
1940-01-31,0.2985870084246803,False,3815,2355,-0.06488436631652456,-0.11473502959132854,-0.09067374680591608,0.007287720902614092
1940-02-29,0.07382398634590313,False,3838,2378,-0.06446903297994887,-0.028285709565891805,-0.02232490407690241,0.017383500806853913
1940-03-30,0.07161180349635171,False,3863,2403,-0.0643311373555009,-0.02726789136026595,-0.021577167268892323,0.02210222443848786
1940-04-30,0.0750954645767645,False,3889,2429,-0.06428935718146382,-0.028481642749799724,-0.022549477871879026,0.023760516757429517
1940-05-31,0.10910961314201463,True,3915,1461,-0.06397698807058645,-0.041187915983432,-0.05523823353270829,0.03505910822546032
1940-06-29,0.11608545059567153,True,3940,1486,-0.0637945742750843,-0.04397260270777508,-0.05853556591632512,0.003254391098688192
1940-07-31,0.12399996645160874,True,3966,1512,-0.06374197243206936,-0.046728404714059535,-0.06232799408979387,0.017146379446171256
1940-08-31,0.1341647846493262,True,3993,1539,-0.06368535129381343,-0.050506063834158496,-0.06700918233570577,-0.0019973580259744494
