formation,long_n_names,long_effective_n,long_weight_l2,long_top1,long_top5,short_n_names,short_effective_n,short_weight_l2,short_top1,short_top5
2014-01-31,270,59.61181528764457,0.1295191025409282,0.07437772803512338,0.2026571003807759,270,36.95815495274577,0.16449202952126177,0.07611559015126677,0.2840810290810938
2014-02-28,270,35.98270162397657,0.16670672364018177,0.09742568624331374,0.29830558438241206,270,45.11092835884654,0.14888780167999216,0.0933990244744226,0.22392043617519758
2014-03-31,264,37.6296854164211,0.16301767926181435,0.1000488577894202,0.2814312875943375,264,19.188106291331334,0.2282884514853887,0.18877950367558224,0.3614731822250045
2014-04-30,263,53.3243867324765,0.13694212579433204,0.07073036951381285,0.21884022719831134,263,38.175364951360386,0.16184839657647832,0.10480181449727546,0.25866745773182154
2014-05-31,277,52.36891515330337,0.13818573450657304,0.07591483572973708,0.21993498569427067,277,13.831950967426886,0.26887986389578805,0.22927357215191002,0.43505067397454306
2014-06-30,260,49.576143206441174,0.14202461843599848,0.06324186039115719,0.234720663292135,261,14.663024959579671,0.2611489073495222,0.22562827176874856,0.4190405423333592
2014-07-31,259,33.18676773127297,0.1735871297164685,0.12900107704877556,0.2879641575189283,259,14.109648718609682,0.2662207479579631,0.20627112646906248,0.4906044219090248
2014-08-31,261,37.36477379418069,0.16359454617508587,0.10961224415416947,0.2777975117384243,261,10.709560846243765,0.30557243059933586,0.23728071538740989,0.5498955126330738
2014-09-30,261,35.559590395454514,0.16769558354571906,0.11426332095099061,0.28107293345445156,261,10.733607503604095,0.30522994949003884,0.23029187749511226,0.5866200809200031
2014-10-31,261,20.77396437061071,0.21940186189917404,0.17916823471478338,0.359255118890988,261,10.957738685978693,0.3020922127506903,0.21737782558306748,0.5897100271904382
2014-11-30,263,39.758992623524186,0.15859237901900639,0.0942320967180676,0.2623243462193002,263,10.896521558692427,0.30293960777137846,0.2409894733474132,0.5400710827697836
2014-12-31,249,44.099923084192284,0.15058478180342819,0.07800031599568293,0.2517081644759173,250,11.931678204469334,0.2895004439150918,0.25512729944784,0.4694922222675494
2015-01-31,248,36.5624885671256,0.16537967197556225,0.09499175779957682,0.30208539199172746,248,11.313169400322618,0.29730886222464686,0.26456476361019016,0.4837678161570412
2015-02-28,247,52.47832745760383,0.13804160731040493,0.06977646594167693,0.21495938231008468,247,9.75362184926391,0.32019684109664315,0.2892055184467556,0.526092038852234
